PWM (%);RPM (tr/min);Débit d'air (m3/s)
0;2940;8,5
1;3030;8,8
2;3180;9,3
3;3300;9,3
4;3450;9,7
5;3600;9,9
6;3690;10,2
7;3780;10,4
8;3840;10,8
9;3990;11
10;4080;11,3
11;4200;11,5
12;4290;11,8
13;4380;12
14;4500;12,2
15;4590;12,4
16;4680;12,6
17;4800;12,9
18;4860;13,1
19;4950;13,3
20;5050;13,6
21;5160;13,8
22;5190;14
23;5250;14,2
24;5400;14,4
25;5430;14,5
26;5580;14,6
27;5670;14,7
28;5790;14,8
29;5910;14,9
30;5970;15
31;6060;15,1
32;6120;15,2
33;6210;15,3
34;6270;15,4
35;6330;15,4
36;6420;15,6
37;6600;15,8
38;6750;15,9
39;6830;16,1
40;6900;16,4
41;6930;16,5
42;7020;16,7
43;7140;16,9
44;7200;17
45;7260;17,2
46;7350;17,4
47;7380;17,5
48;7410;17,7
49;7470;17,7
50;7530;18
51;7560;18,2
52;7590;18,3
53;7620;18,4
54;7680;18,5
55;7740;18,7
56;7770;18,8
57;7850;18,8
58;7860;18,9
59;7920;18,9
60;7950;19
61;8040;19
62;8070;19,1
63;8100;19,1
64;8160;19,2
65;8190;19,2
66;8220;19,3
67;8250;19,3
68;8310;19,3
69;8340;19,4
70;8370;19,4
71;8460;19,5
72;8490;19,6
73;8580;19,7
74;8640;19,8
75;8700;19,9
76;8730;20
77;8820;20,2
78;8880;20,3
79;8910;20,4
80;8940;20,5
81;8970;20,6
82;9000;20,7
83;9120;20,8
84;9210;20,9
85;9300;21
86;9410;21,1
87;9500;21,2
88;9600;21,3
89;9630;21,4
90;9720;21,5
91;9810;21,6
92;9840;21,7
93;9900;21,8
94;9960;21,9
95;9960;22
96;9000;22,1
97;9000;22,2
98;9000;22,3
99;9000;22,4
100;9000;22,5
